15:59:16.298 [http-nio-9001-exec-1] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 79288
15:59:16.585 [http-nio-9001-exec-1] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 80354
15:59:16.647 [http-nio-9001-exec-1] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 81474
15:59:16.707 [http-nio-9001-exec-1] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 82568
15:59:16.767 [http-nio-9001-exec-1] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 83490
16:06:29.721 [http-nio-9001-exec-2] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 151709
16:06:29.798 [http-nio-9001-exec-2] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 158177
16:06:29.893 [http-nio-9001-exec-2] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 159002
16:06:29.983 [http-nio-9001-exec-2] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 159865
16:06:30.040 [http-nio-9001-exec-2] ERROR c.a.d.p.DruidAbstractDataSource - [testConnectionInternal,1488] - discard long time none received connection. , jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, jdbcUrl : jdbc:mysql://119.23.237.39:3306/meal?characterEncoding=UTF-8&useUnicode=trueGMT&serverTimezone=GMT, lastPacketReceivedIdleMillis : 160672
